x,M1,M2,M3
1.84,2.7992579278968104,4.798705457498419,6.7986985181686395
1.85,2.8020875349663923,4.801562889771743,6.801556469281353
1.86,2.804874397297261,4.804376180015405,6.804370239616422
1.87,2.807619226415464,4.80714610961345,6.807140613447257
1.88,2.8103227207521986,4.809873443385721,6.809868358268043
1.89,2.8129855658965193,4.812558930011103,6.812554225232954
1.9,2.815608434843712,4.815203302438212,6.815198949581605
1.91,2.818191988239337,4.817807278283869,6.817803251051228
1.92,2.8207368746189982,4.820371560219819,6.820367834276054
1.93,2.8232437306438443,4.822896836348041,6.822893389174347
1.94,2.8257131813318566,4.825383780565048,6.825380591323586
1.95,2.828145840284937,4.827833052915509,6.827830102324132
1.96,2.8305423099118574,4.83024529993557,6.8302425701518725
1.97,2.832903181647103,4.832621154986193,6.832618629500182
1.98,2.835229036165644,4.834961238576837,6.8349589021115795
1.99,2.8375204435936947,4.837266158679794,6.837263997099476
2.0,2.8397779637155054,4.839536511035498,6.8395345112603
2.01,2.842002146176218,4.8417728794490715,6.841771029376406
2.02,2.8441935306808643,4.843975836078417,6.843974124510009
2.03,2.846352647189532,4.8461459417141,6.846144358288519
2.04,2.8484800161087587,4.848283746051328,6.848282281181515
2.05,2.8505761484792105,4.850389787954202,6.850388432769693
2.06,2.8526415461597017,4.852464595712604,6.852463342006018
2.07,2.854676702007591,4.854508687291818,6.854507527469357
2.08,2.856682100055637,4.856522570575237,6.856521497610864
2.09,2.858658215685332,4.858506743600282,6.8585057509933325
2.1,2.86060551579681,4.860461694787822,6.860460776523747
2.11,2.862524458975354,4.862387903165234,6.862387053679302
2.12,2.8644154956545655,4.864285838583358,6.8642850527270385
2.13,2.8662790682762616,4.866155961927495,6.866155234937373
2.14,2.8681156114471444,4.867998725322662,6.867998052791653
2.15,2.8699255520922993,4.86981457233327,6.869813950183994
2.16,2.8717093096055826,4.87160393815741,6.871603362617543
2.17,2.8734672959969556,4.87336724981588,6.87336671739536
2.18,2.8751999160368045,4.875104926336173,6.875104433806096
2.19,2.876907567397319,4.8768173789315235,6.876816923304617
2.2,2.8785906407909736,4.8785050111752,6.8785045896877595
2.21,2.8802495201061697,4.8801682191701765,6.880167829265339
2.22,2.881884582540085,4.881807391714309,6.881807031026601
2.23,2.8834961987287913,4.883422910461203,6.883422576802212
2.24,2.88508473287469,4.885015150076829,6.885014841421964
2.25,2.8866505428713114,4.886584478392081,6.8865841928683205
2.26,2.8881939804255365,4.88813125655136,6.888130992425911
2.27,2.88971539117729,4.8896558391573155,6.889655594827124
2.28,2.8912151148167506,4.891158574411862,6.891158348393907
2.29,2.892693485199133,4.892639804253577,6.892639595175883
2.3,2.8941508304570838,4.894099864491579,6.894099671084916
2.31,2.895587473110744,4.895539084936015,6.895538906026197
2.32,2.8970037301755323,4.896957789525226,6.896957624026012
2.33,2.8983999132676717,4.8983562964497125,6.89835614335621
2.34,2.8997763287075338,4.899734918272978,6.899734776655564
2.35,2.901133277620831,4.901093962049353,6.901093831048038
2.36,2.9024710560377005,4.902433729438886,6.902433608258094
2.37,2.9037899549897257,4.903754516819357,6.903754404723114
2.38,2.9050902606049425,4.905056615395563,6.905056511703025
2.39,2.9063722542008676,4.906340311305874,6.906340215387203
2.4,2.90763621237559,4.907605885726197,6.907605796998749
2.41,2.9088824070969688,4.908853614971398,6.908853532896175
2.42,2.9101111057899796,4.910083770594255,6.910083694672646
2.43,2.911322571422239,4.911296619482012,6.911296549252764
2.44,2.9125170625877628,4.912492423950605,6.912492358987029
2.45,2.9136948335889743,4.91367144183663,6.913671381744015
2.46,2.9148561345170214,4.914833926587111,6.914833871000313
